PeriodId,AcHRev-307-replacerandom,AuthorshipRec-308-replacerandom,cHRev-306-replacerandom,LearnRec-311-replacerandom,RAR-316-replacerandom,RAR-317-addDefect_25,RAR-318-addDefect_50,RAR-319-addDefect_75,RetentionRec-310-replacerandom,RevOwnRec-309-replacerandom,Sofia-313-replacerandom,SofiaWL-314-replacerandom,TurnoverRec-312-replacerandom,WhoDo-315-replacerandom
4,100,133.333333333333,73.3333333333333,146.666666666667,33.3333333333333,-73.3333333333333,-60,-46.6666666666667,6.66666666666667,46.6666666666667,0,0,0,166.666666666667
5,104,36,90,202,68,-72,-52,-38,8.00000000000001,62,-4,4,0,80
6,74.3362831858407,77.8761061946903,41.5929203539823,95.575221238938,16.8141592920354,-75.2212389380531,-60.1769911504425,-48.6725663716814,-27.4336283185841,15.0442477876106,-37.1681415929204,-35.3982300884956,-36.283185840708,88.4955752212389
7,53.7735849056604,45.2830188679245,31.1320754716981,167.924528301887,-3.77358490566038,-64.1509433962264,-53.7735849056604,-38.6792452830189,-18.8679245283019,48.1132075471698,-33.0188679245283,-26.4150943396226,-30.188679245283,53.7735849056604
8,9.43396226415094,6.60377358490567,-19.811320754717,101.88679245283,-47.1698113207547,-71.6981132075472,-64.1509433962264,-56.6037735849057,-39.622641509434,48.1132075471698,-49.0566037735849,-43.3962264150943,-50,10.377358490566
9,34.020618556701,26.8041237113402,1.03092783505154,169.072164948454,-24.7422680412371,-80.4123711340206,-60.8247422680412,-45.360824742268,-20.6185567010309,85.5670103092784,-32.9896907216495,-30.9278350515464,-27.8350515463918,55.6701030927835
10,119.607843137255,123.529411764706,41.1764705882353,449.019607843137,7.84313725490196,-66.6666666666667,-43.1372549019608,-17.6470588235294,-7.84313725490197,19.6078431372549,-19.6078431372549,-21.5686274509804,-31.3725490196078,192.156862745098
11,80,92.5,38.75,483.75,12.5,-65,-33.75,-6.25,0,15,-18.75,-21.25,-22.5,182.5
12,45.5555555555556,48.8888888888889,8.88888888888888,361.111111111111,-21.1111111111111,-78.8888888888889,-56.6666666666667,-40,-23.3333333333333,61.1111111111111,-41.1111111111111,-41.1111111111111,-41.1111111111111,148.888888888889
13,7.69230769230769,52.8846153846154,-11.5384615384615,286.538461538462,-34.6153846153846,-83.6538461538462,-60.5769230769231,-40.3846153846154,-38.4615384615385,33.6538461538461,-46.1538461538462,-48.0769230769231,-50.9615384615385,149.038461538462
14,10,60,-10,290,-25.8333333333333,-77.5,-54.1666666666667,-37.5,-23.3333333333333,37.5,-39.1666666666667,-40.8333333333333,-41.6666666666667,157.5
15,37.2340425531915,48.936170212766,4.25531914893618,357.446808510638,-34.0425531914894,-78.7234042553192,-58.5106382978723,-43.6170212765958,-34.0425531914894,39.3617021276596,-48.936170212766,-45.7446808510638,-52.1276595744681,153.191489361702
16,31.6666666666667,18.3333333333333,10.8333333333333,325.833333333333,-22.5,-76.6666666666667,-59.1666666666667,-45,-45,23.3333333333333,-52.5,-50.8333333333333,-56.6666666666667,129.166666666667
17,0.561797752808979,20.2247191011236,-15.7303370786517,214.606741573034,-42.1348314606742,-82.0224719101124,-66.8539325842697,-55.6179775280899,-57.8651685393258,-5.61797752808989,-59.5505617977528,-58.4269662921348,-64.0449438202247,108.426966292135
18,13.6986301369863,39.7260273972603,3.42465753424657,258.904109589041,-33.5616438356164,-81.5068493150685,-65.0684931506849,-51.3698630136986,-55.4794520547945,13.013698630137,-59.5890410958904,-54.1095890410959,-63.6986301369863,157.534246575342
19,-8.94736842105263,14.2105263157895,-16.8421052631579,212.631578947368,-42.1052631578947,-81.0526315789474,-68.4210526315789,-56.3157894736842,-58.9473684210526,-7.89473684210527,-59.4736842105263,-56.8421052631579,-64.2105263157895,114.736842105263
20,15.625,32.1428571428571,-14.7321428571429,182.142857142857,-41.0714285714286,-83.0357142857143,-64.7321428571429,-55.3571428571429,-59.8214285714286,3.57142857142858,-61.1607142857143,-56.6964285714286,-63.8392857142857,119.642857142857
Median,34.020618556701,45.2830188679245,4.25531914893618,214.606741573034,-24.7422680412371,-77.5,-60,-45,-27.4336283185841,33.6538461538461,-41.1111111111111,-41.1111111111111,-41.6666666666667,129.166666666667
Average,42.8387602344748,51.6045238372667,15.0449152350338,253.241763717515,-13.7747402155479,-75.9725376312006,-57.7633352482825,-42.5319144121116,-29.1766704442284,31.6555640324983,-38.9548789814242,-36.9194402481954,-40.9709702423369,121.633327629019
