PeriodId,cHRev-306-replacerandom,AcHRev-307-replacerandom,TurnoverRec-312-replacerandom,Sofia-313-replacerandom,RAR-316-replacerandom,WhoDo-315-replacerandom,SofiaWL-314-replacerandom,RAR-317-addDefect_25,RAR-318-addDefect_50,RAR-319-addDefect_75
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,44.2922374429224,24.2009132420091,17.8082191780822
5,0,0,0,0,0,0,0,30.7692307692308,17.914979757085,11.336032388664
6,0,0,0,0,0,0,0,31.4647377938517,12.1157323688969,6.87160940325497
7,0,0,0,0,0,0,0,25,8.58585858585858,3.03030303030303
8,0,0,0,0,0,0,0,29.9352750809061,7.60517799352751,3.72168284789644
9,0,0,0,0,0,0,0,27.2010512483574,7.09592641261498,1.57687253613666
10,0,0,0,0,0,0,0,38.9928057553957,17.2661870503597,7.48201438848921
11,0,0,0,0,0,0,0,34.6067415730337,13.1460674157303,6.06741573033708
12,0,0,0,0,0,0,0,32.3248407643312,7.64331210191083,3.82165605095541
13,0,0,0,0,0,0,0,32.7030033370412,9.01001112347052,2.78086763070078
14,0,0,0,0,0,0,0,25.2361673414305,8.7719298245614,2.83400809716599
15,0,0,0,0,0,0,0,46.8978102189781,17.3357664233577,6.75182481751825
16,0,0,0,0,0,0,0,46.742671009772,22.9641693811075,9.12052117263844
17,0,0,0,0,0,0,0,32.7868852459016,12.568306010929,5.68306010928962
18,0,0,0,0,0,0,0,27.1090047393365,10.9004739336493,4.2654028436019
19,0,0,0,0,0,0,0,31.9148936170213,12.2749590834697,6.0556464811784
20,0,0,0,0,0,0,0,23.1517509727626,7.00389105058366,2.91828793774319
21,0,0,0,0,0,0,0,33.7325349301397,12.874251497006,6.58682634730539
22,0,0,0,0,0,0,0,23.2876712328767,9.58904109589041,4.10958904109589
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,31.8855465884079,12.0763022743947,5.50256786500367
