PeriodId,cHRev-217-replacerandom,AcHRev-218-replacerandom,TurnoverRec-223-replacerandom,Sofia-224-replacerandom,RAR-227-replacerandom,WhoDo-226-replacerandom,SofiaWL-225-replacerandom,RAR-228-addDefect_25,RAR-229-addDefect_50,RAR-230-addDefect_75
3,0,0,0,0,0,0,0,100,100,100
7,0,0,0,0,0,0,0,100,100,100
8,0,0,0,0,0,0,0,100,100,0
9,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,0
10,0,0,0,0,0,0,0,72.7272727272727,9.09090909090908,0
11,-10,-3.33333333333333,0,-3.33333333333333,-10,0,0,70,43.3333333333333,3.33333333333334
12,8.00000000000001,12,12,12,12,12,12,68,32,16
13,0,0,0,0,0,0,0,75,33.3333333333333,8.33333333333333
14,-4,-2.28571428571429,-1.14285714285715,1.14285714285713,-2.28571428571429,0.571428571428578,4.57142857142858,48.5714285714286,24,3.42857142857143
15,-5.71428571428572,-4.64285714285714,-9.64285714285714,-2.5,-5.35714285714286,-8.92857142857143,-3.57142857142857,46.4285714285714,19.6428571428571,2.14285714285714
16,-6.25,-4.77941176470589,-6.98529411764706,-0.367647058823528,-3.67647058823529,-9.55882352941176,-6.98529411764706,55.8823529411765,16.5441176470588,-1.47058823529411
17,0.958466453674123,-3.19488817891374,-10.8626198083067,0.638977635782756,0,-17.2523961661342,-14.3769968051118,55.2715654952077,23.3226837060703,1.91693290734825
18,1.33779264214047,2.34113712374582,0,7.69230769230769,5.35117056856187,-14.7157190635452,-8.0267558528428,56.1872909698997,21.7391304347826,7.02341137123745
19,-5.17435320584927,-5.73678290213723,-17.5478065241845,1.34983127109112,-1.46231721034871,-40.607424071991,-29.8087739032621,62.6546681664792,15.8605174353206,1.01237345331833
20,-10.077519379845,-9.84496124031008,-26.5116279069767,-1.78294573643411,-3.87596899224806,-34.1085271317829,-39.2248062015504,56.8217054263566,-0.852713178294573,-3.25581395348837
21,-11.6545265348595,-13.9438085327784,-26.7429760665973,-4.26638917793964,-5.61914672216441,-41.8314255983351,-44.9531737773153,51.6129032258064,4.78668054110303,-3.74609781477627
22,-13.431151241535,-14.4469525959368,-25.5079006772009,-6.43340857787811,-9.36794582392777,-37.2460496613996,-42.2121896162528,52.5959367945824,3.04740406320543,-8.01354401805869
23,-10.5582524271845,-8.98058252427184,-20.5097087378641,-3.51941747572816,-7.16019417475728,-45.873786407767,-41.9902912621359,50.3640776699029,10.8009708737864,-3.15533980582524
24,-12.5,-10.9848484848485,-12.6262626262626,-5.05050505050505,-10.1010101010101,-46.0858585858586,-43.0555555555556,51.3888888888889,21.0858585858586,-4.67171717171717
25,-17.7350427350427,-15.0641025641026,-19.2307692307692,-10.2564102564103,-15.491452991453,-55.0213675213675,-44.4444444444444,47.5427350427351,13.8888888888889,-13.3547008547009
26,-11.1111111111111,-9.98751560549314,-15.8551810237204,-1.24843945068664,-9.48813982521848,-48.4394506866417,-43.4456928838951,48.314606741573,15.980024968789,-6.24219725343321
27,-13.1414267834793,-13.3917396745932,-19.0237797246558,-4.13016270337923,-12.3904881101377,-54.8185231539424,-45.8072590738423,47.3091364205257,24.5306633291614,-4.63078848560701
28,-14.125,-9.5,-8.375,-5.125,-11.75,-56,-45.375,46.5,16.75,-6.125
29,-12.1212121212121,-11.5942028985507,-11.1989459815547,-2.23978919631094,-10.1449275362319,-45.5862977602108,-40.7114624505929,44.9275362318841,22.3978919631094,-6.19235836627141
30,-16.0693641618497,-14.5664739884393,-14.7976878612717,-5.78034682080925,-13.757225433526,-51.7919075144509,-40.5780346820809,48.6705202312139,34.1040462427746,-6.47398843930636
31,-10.2628285356696,-9.63704630788486,-2.75344180225282,-0.500625782227782,-9.26157697121401,-51.8147684605757,-32.7909887359199,53.3166458072591,28.9111389236546,-3.62953692115144
32,-1.71673819742489,-1.39484978540773,-3.86266094420601,8.15450643776825,0.643776824034337,-55.4721030042918,-34.1201716738197,62.4463519313305,36.1587982832618,7.18884120171674
33,-2.4390243902439,-4.32372505543237,-4.32372505543237,7.31707317073171,0.554323725055439,-59.9778270509978,-33.370288248337,59.7560975609756,36.1419068736142,8.31485587583149
34,1.92307692307692,-1.41025641025641,9.61538461538463,15.6410256410257,6.28205128205128,-53.8461538461538,-22.9487179487179,65.5128205128205,44.4871794871795,13.7179487179487
35,-2.19354838709678,-1.93548387096775,7.48387096774195,9.93548387096774,4.51612903225806,-53.8064516129032,-33.6774193548387,63.3548387096774,30.3225806451613,14.7096774193549
Median,-5.44431946006749,-4.48329109914475,-5.65450958653971,-0.183823529411764,-2.98109243697479,-38.9267368666953,-31.299881319591,55.5769592181921,23.6613418530351,0
Average,-5.93520163025992,-5.35461333410631,-7.61339489304968,0.244588074735535,-3.72807567304563,-29.0070667894968,-22.4967772196054,59.8163761609634,30.4913845316084,7.20534882884069
