PeriodId,AcHRev-218-replacerandom,AuthorshipRec-219-replacerandom,cHRev-217-replacerandom,LearnRec-222-replacerandom,RAR-227-replacerandom,RAR-228-addDefect_25,RAR-229-addDefect_50,RAR-230-addDefect_75,RetentionRec-221-replacerandom,RevOwnRec-220-replacerandom,Sofia-224-replacerandom,SofiaWL-225-replacerandom,TurnoverRec-223-replacerandom,WhoDo-226-replacerandom
8,0,0,0,0,0,0,0,0,0,0,0,0,100,0
10,100,400,500,700,200,200,200,200,0,200,200,100,300,200
11,11.1111111111111,66.6666666666667,111.111111111111,255.555555555556,111.111111111111,0,22.2222222222222,100,-33.3333333333333,277.777777777778,-11.1111111111111,-11.1111111111111,-11.1111111111111,33.3333333333333
12,25,75,137.5,612.5,150,-25,0,112.5,-62.5,825,-25,-37.5,-37.5,112.5
13,121.428571428571,116.666666666667,-4.76190476190477,66.6666666666667,-40.4761904761905,-52.3809523809524,-47.6190476190476,-45.2380952380952,-71.4285714285714,66.6666666666667,-66.6666666666667,-66.6666666666667,-69.0476190476191,121.428571428571
14,100,96.4912280701754,1.75438596491229,128.070175438596,-22.8070175438597,-47.3684210526316,-36.8421052631579,-28.0701754385965,-22.8070175438597,145.614035087719,-17.5438596491228,-17.5438596491228,-22.8070175438597,89.4736842105263
15,205.555555555556,186.111111111111,72.2222222222222,311.111111111111,47.2222222222222,-63.8888888888889,-38.8888888888889,16.6666666666667,-16.6666666666667,380.555555555556,-11.1111111111111,-13.8888888888889,-19.4444444444444,177.777777777778
16,50.6666666666667,33.3333333333333,-4,217.333333333333,-26.6666666666667,-81.3333333333333,-66.6666666666667,-34.6666666666667,-42.6666666666667,232,-53.3333333333333,-54.6666666666667,-54.6666666666667,76
17,-2.73972602739726,-21.9178082191781,-9.58904109589042,317.808219178082,-26.027397260274,-79.4520547945205,-68.4931506849315,-32.8767123287671,-27.3972602739726,249.315068493151,-39.7260273972603,-42.4657534246575,-39.7260273972603,135.616438356164
18,29.2134831460674,-14.6067415730337,-13.4831460674157,341.573033707865,-26.9662921348315,-84.2696629213483,-62.9213483146067,-29.2134831460674,-26.9662921348315,278.651685393258,-25.8426966292135,-26.9662921348315,-19.1011235955056,125.842696629213
19,39.2156862745098,-10.7843137254902,-7.84313725490197,440.196078431373,-15.6862745098039,-86.2745098039216,-53.921568627451,-24.5098039215686,-19.6078431372549,412.745098039216,-18.6274509803922,-18.6274509803922,-10.7843137254902,71.5686274509804
20,17.0967741935484,-2.58064516129032,4.19354838709678,224.193548387097,-12.9032258064516,-83.5483870967742,-48.0645161290323,-30.3225806451613,-5.48387096774193,224.838709677419,-11.9354838709677,-10.9677419354839,-7.41935483870968,50.3225806451613
21,28.0285035629454,109.501187648456,8.31353919239906,195.486935866983,-9.73871733966746,-84.5605700712589,-41.5676959619953,-17.3396674584323,-9.73871733966746,192.399049881235,-14.2517814726841,-12.8266033254157,-13.3016627078385,113.301662707838
22,37.0813397129187,117.224880382775,15.7894736842105,229.186602870813,-7.65550239234449,-87.3205741626794,-43.5406698564593,-14.5933014354067,-4.30622009569378,210.047846889952,-10.7655502392344,-9.56937799043063,-8.85167464114832,134.928229665072
23,36.3896848137536,4.01146131805157,25.214899713467,240.114613180516,-4.58452722063037,-86.5329512893983,-40.974212034384,-17.7650429799427,3.15186246418337,248.997134670487,-9.16905444126075,-10.8882521489971,-9.45558739255015,87.9656160458453
24,52.3235800344234,72.8055077452668,69.7074010327022,174.182444061962,20.9982788296041,-59.2082616179002,-27.5387263339071,4.81927710843373,-15.1462994836489,165.92082616179,-16.1790017211704,-19.104991394148,-23.2358003442341,113.597246127367
25,74.6445497630332,-6.6350710900474,86.2559241706161,235.781990521327,30.8056872037915,-65.8767772511848,-30.5687203791469,9.95260663507109,-11.8483412322275,233.886255924171,-18.957345971564,-24.6445497630332,-27.9620853080569,86.7298578199052
26,64.6630236794171,89.0710382513661,70.856102003643,228.779599271403,24.2258652094718,-61.7486338797814,-27.8688524590164,6.19307832422586,-13.1147540983607,231.147540983607,-17.6684881602914,-21.1293260473588,-25.3187613843352,160.291438979964
27,50.4827586206897,76.6896551724138,58.7586206896552,198.344827586207,21.9310344827586,-60.1379310344828,-30.6206896551724,5.79310344827586,-7.3103448275862,190.344827586207,-17.2413793103448,-18.0689655172414,-23.0344827586207,134.48275862069
29,11.7531831537708,42.5073457394711,13.2223310479922,128.011753183154,-0.783545543584718,-60.920666013712,-39.5690499510284,-9.50048971596474,-14.6914789422135,118.805093046033,-28.6973555337904,-27.0323212536729,-31.4397649363369,99.9020568070519
30,16.3153070577452,45.5545371219065,14.4821264894592,133.822181484876,0.183318056828607,-60.4949587534372,-39.5050412465628,-9.89917506874427,-9.99083409715857,124.381301558203,-27.8643446379468,-23.8313473877177,-30.06416131989,103.2080659945
31,20.4225352112676,49.6981891348089,20.9255533199195,154.627766599598,8.85311871227363,-61.9718309859155,-39.2354124748491,-5.13078470824949,-7.54527162977867,133.199195171026,-22.8370221327968,-20.7243460764588,-27.9678068410463,109.255533199195
32,36.5914786967419,57.5187969924812,32.3308270676692,183.959899749373,10.7769423558897,-69.6741854636592,-43.1077694235589,-4.13533834586466,-11.9047619047619,155.513784461153,-23.0576441102757,-16.1654135338346,-0.250626566416046,121.679197994987
33,26.1935483870968,52.6451612903226,26.8387096774193,152.258064516129,10.3225806451613,-62.1935483870968,-36,-3.61290322580645,-7.35483870967743,112.387096774194,-22.7096774193548,-17.9354838709677,-13.2903225806452,118.193548387097
34,29.0617848970252,62.4713958810069,7.78032036613272,204.347826086957,-3.4324942791762,-78.4897025171625,-58.1235697940503,-21.5102974828375,-15.7894736842105,130.205949656751,-36.3844393592677,-26.5446224256293,-21.7391304347826,121.967963386728
35,30.68669527897,56.2231759656652,20.3862660944206,207.081545064378,6.65236051502145,-68.0257510729614,-46.5665236051502,-13.9484978540773,-17.8111587982833,133.047210300429,-32.1888412017167,-21.6738197424893,-20.1716738197425,131.974248927039
Median,33.5381900463618,56.8709864790732,18.0878698893156,212.207439198856,0.0916590284143037,-63.0412186379928,-39.5370455987956,-9.69983239235451,-13.9031165202871,196.199524940618,-18.7923984759781,-18.8662211872701,-20.9554021272625,113.449454417603
Average,46.5840805853243,67.4487214893425,48.3833128098052,241.576683532821,17.1290256988713,-52.7181751066539,-28.6916155056477,4.3689121739394,-18.1637751743071,218.209527298308,-14.5719102484953,-18.0978404590468,-6.44966228485807,108.897735942116
