PeriodId,cHRev-306-replacerandom,AcHRev-307-replacerandom,TurnoverRec-312-replacerandom,Sofia-313-replacerandom,RAR-316-replacerandom,WhoDo-315-replacerandom,SofiaWL-314-replacerandom,RAR-317-addDefect_25,RAR-318-addDefect_50,RAR-319-addDefect_75
4,73.3333333333333,100,0,0,33.3333333333333,166.666666666667,0,-73.3333333333333,-60,-46.6666666666667
5,90,104,0,-4,68,80,4,-72,-52,-38
6,41.5929203539823,74.3362831858407,-36.283185840708,-37.1681415929204,16.8141592920354,88.4955752212389,-35.3982300884956,-75.2212389380531,-60.1769911504425,-48.6725663716814
7,31.1320754716981,53.7735849056604,-30.188679245283,-33.0188679245283,-3.77358490566038,53.7735849056604,-26.4150943396226,-64.1509433962264,-53.7735849056604,-38.6792452830189
8,-19.811320754717,9.43396226415094,-50,-49.0566037735849,-47.1698113207547,10.377358490566,-43.3962264150943,-71.6981132075472,-64.1509433962264,-56.6037735849057
9,1.03092783505154,34.020618556701,-27.8350515463918,-32.9896907216495,-24.7422680412371,55.6701030927835,-30.9278350515464,-80.4123711340206,-60.8247422680412,-45.360824742268
10,41.1764705882353,119.607843137255,-31.3725490196078,-19.6078431372549,7.84313725490196,192.156862745098,-21.5686274509804,-66.6666666666667,-43.1372549019608,-17.6470588235294
11,38.75,80,-22.5,-18.75,12.5,182.5,-21.25,-65,-33.75,-6.25
12,8.88888888888888,45.5555555555556,-41.1111111111111,-41.1111111111111,-21.1111111111111,148.888888888889,-41.1111111111111,-78.8888888888889,-56.6666666666667,-40
13,-11.5384615384615,7.69230769230769,-50.9615384615385,-46.1538461538462,-34.6153846153846,149.038461538462,-48.0769230769231,-83.6538461538462,-60.5769230769231,-40.3846153846154
14,-10,10,-41.6666666666667,-39.1666666666667,-25.8333333333333,157.5,-40.8333333333333,-77.5,-54.1666666666667,-37.5
15,4.25531914893618,37.2340425531915,-52.1276595744681,-48.936170212766,-34.0425531914894,153.191489361702,-45.7446808510638,-78.7234042553192,-58.5106382978723,-43.6170212765958
16,10.8333333333333,31.6666666666667,-56.6666666666667,-52.5,-22.5,129.166666666667,-50.8333333333333,-76.6666666666667,-59.1666666666667,-45
17,-15.7303370786517,0.561797752808979,-64.0449438202247,-59.5505617977528,-42.1348314606742,108.426966292135,-58.4269662921348,-82.0224719101124,-66.8539325842697,-55.6179775280899
18,3.42465753424657,13.6986301369863,-63.6986301369863,-59.5890410958904,-33.5616438356164,157.534246575342,-54.1095890410959,-81.5068493150685,-65.0684931506849,-51.3698630136986
19,-16.8421052631579,-8.94736842105263,-64.2105263157895,-59.4736842105263,-42.1052631578947,114.736842105263,-56.8421052631579,-81.0526315789474,-68.4210526315789,-56.3157894736842
20,-14.7321428571429,15.625,-63.8392857142857,-61.1607142857143,-41.0714285714286,119.642857142857,-56.6964285714286,-83.0357142857143,-64.7321428571429,-55.3571428571429
Median,4.25531914893618,34.020618556701,-41.6666666666667,-41.1111111111111,-24.7422680412371,129.166666666667,-41.1111111111111,-77.5,-60,-45
Average,15.0449152350338,42.8387602344748,-40.9709702423369,-38.9548789814242,-13.7747402155479,121.633327629019,-36.9194402481954,-75.9725376312006,-57.7633352482825,-42.5319144121116
