,Roslyn,Rust,Kubernetes
0,1.0,4.0,8.0
1,30.0,2.0,1.0
2,65.0,37.0,2.0
3,133.0,1.0,80.0
4,4.0,1.0,1.0
5,7.0,110.0,10.0
6,1.0,43.0,2.0
7,112.0,2.0,6.0
8,1.0,15.0,4.0
9,8.0,1.0,1.0
10,5.0,6.0,12.0
11,11.0,2.0,2.0
12,111.0,1.0,4.0
13,2.0,6.0,1.0
14,3.0,1.0,1.0
15,1.0,1.0,15.0
16,1.0,1.0,2.0
17,1.0,96.0,1.0
18,1.0,261.0,3.0
19,5.0,1.0,1.0
20,3.0,1.0,2.0
21,1.0,1.0,3.0
22,56.0,7.0,1.0
23,4.0,13.0,6.0
24,33.0,2.0,1.0
25,1.0,52.0,2.0
26,4.0,38.0,3.0
27,1.0,2.0,8.0
28,22.0,1.0,2.0
29,1.0,1.0,1.0
30,2.0,24.0,1.0
31,72.0,1.0,5.0
32,24.0,1.0,1.0
33,2.0,1.0,2.0
34,10.0,1.0,1.0
35,13.0,2.0,45.0
36,94.0,5.0,1.0
37,12.0,2.0,31.0
38,21.0,477.0,3.0
39,4.0,2.0,6.0
40,110.0,1.0,2.0
41,9.0,9.0,1.0
42,15.0,1.0,22.0
43,1.0,6.0,1.0
44,2.0,322.0,3.0
45,1.0,1.0,21.0
46,117.0,5.0,3.0
47,33.0,2.0,1.0
48,1.0,4.0,1.0
49,33.0,191.0,2.0
50,1.0,2.0,1.0
51,1.0,1.0,4.0
52,2.0,1.0,21.0
53,13.0,3.0,53.0
54,3.0,1.0,4.0
55,104.0,9.0,7.0
56,1.0,19.0,1.0
57,54.0,3.0,1.0
58,3.0,11.0,3.0
59,118.0,1.0,6.0
60,9.0,3.0,1.0
61,1.0,16.0,1.0
62,15.0,1.0,2.0
63,1.0,36.0,26.0
64,3.0,3.0,7.0
65,24.0,2.0,10.0
66,2.0,3.0,22.0
67,439.0,13.0,1.0
68,10.0,1.0,89.0
69,1.0,149.0,13.0
70,139.0,3.0,1.0
71,3.0,11.0,10.0
72,28.0,2.0,1.0
73,63.0,1.0,3.0
74,20.0,1.0,7.0
75,6.0,1.0,2.0
76,44.0,1.0,38.0
77,91.0,1.0,9.0
78,19.0,1.0,2.0
79,63.0,2.0,1.0
80,13.0,6.0,1.0
81,9.0,2.0,8.0
82,14.0,95.0,9.0
83,41.0,1.0,2.0
84,4.0,55.0,255.0
85,6.0,2.0,2.0
86,1.0,10.0,3.0
87,12.0,1.0,1.0
88,3.0,1.0,1.0
89,212.0,82.0,9.0
90,2.0,2.0,4.0
91,43.0,10.0,8.0
92,24.0,1.0,25.0
93,75.0,17.0,68.0
94,4.0,1.0,1.0
95,24.0,1.0,1.0
96,48.0,1.0,10.0
97,1.0,1.0,65.0
98,13.0,1.0,1.0
99,157.0,11.0,28.0
100,74.0,1.0,1.0
101,19.0,1.0,1.0
102,20.0,1.0,49.0
103,1.0,14.0,1.0
104,161.0,15.0,63.0
105,1.0,4.0,1.0
106,1.0,4.0,1.0
107,1.0,1.0,1.0
108,1.0,1.0,22.0
109,16.0,1.0,244.0
110,1.0,1.0,2.0
111,41.0,1.0,4.0
112,36.0,6.0,4.0
113,1.0,1.0,5.0
114,1.0,4.0,1.0
115,1.0,10.0,2.0
116,22.0,2.0,1.0
117,2.0,15.0,1.0
118,102.0,1.0,6.0
119,24.0,81.0,26.0
120,10.0,50.0,7.0
121,1.0,24.0,1.0
122,154.0,11.0,5.0
123,3.0,2.0,1.0
124,1.0,47.0,3.0
125,53.0,2.0,3.0
126,61.0,26.0,22.0
127,40.0,56.0,3.0
128,8.0,1.0,1.0
129,42.0,1.0,1.0
130,8.0,1.0,12.0
131,9.0,4.0,2.0
132,86.0,3.0,41.0
133,7.0,1.0,19.0
134,1.0,13.0,28.0
135,1.0,1.0,1.0
136,9.0,10.0,5.0
137,126.0,2.0,24.0
138,2.0,1.0,3.0
139,43.0,38.0,1.0
140,15.0,1.0,5.0
141,1.0,14.0,3.0
142,43.0,1.0,2.0
143,2.0,1.0,1.0
144,15.0,3.0,3.0
145,1.0,1.0,1.0
146,5.0,21.0,3.0
147,33.0,7.0,3.0
148,21.0,10.0,1.0
149,123.0,15.0,106.0
150,3.0,4.0,5.0
151,4.0,66.0,21.0
152,1.0,3.0,3.0
153,1.0,1.0,1.0
154,2.0,12.0,57.0
155,1.0,1.0,1.0
156,1.0,1.0,113.0
157,8.0,1.0,28.0
158,1.0,21.0,7.0
159,22.0,1.0,3.0
160,2.0,88.0,1.0
161,15.0,17.0,22.0
162,7.0,1.0,37.0
163,1.0,1.0,152.0
164,7.0,1.0,36.0
165,14.0,1.0,1.0
166,56.0,1.0,2.0
167,1.0,6.0,8.0
168,2.0,17.0,10.0
169,216.0,3.0,1.0
170,3.0,1.0,2.0
171,13.0,58.0,3.0
172,1.0,27.0,10.0
173,1.0,1.0,27.0
174,135.0,1.0,3.0
175,1.0,21.0,7.0
176,1.0,138.0,2.0
177,5.0,106.0,2.0
178,1.0,1.0,5.0
179,3.0,5.0,1.0
180,4.0,2.0,4.0
181,7.0,2.0,6.0
182,3.0,60.0,1.0
183,9.0,1.0,1.0
184,3.0,11.0,73.0
185,7.0,1.0,6.0
186,1.0,1.0,63.0
187,1.0,1.0,1.0
188,3.0,2.0,1.0
189,1.0,6.0,1.0
190,10.0,8.0,21.0
191,1.0,1.0,8.0
192,33.0,1.0,3.0
193,4.0,5.0,146.0
194,25.0,1.0,1.0
195,2.0,5.0,1.0
196,2.0,1.0,25.0
197,3.0,1.0,7.0
198,142.0,37.0,1.0
199,2.0,3.0,6.0
200,1.0,1.0,6.0
201,13.0,1.0,34.0
202,19.0,1.0,3.0
203,1.0,1.0,9.0
204,76.0,27.0,1.0
205,1.0,3.0,3.0
206,3.0,3.0,47.0
207,21.0,3.0,3.0
208,9.0,2.0,35.0
209,8.0,7.0,117.0
210,20.0,1.0,46.0
211,18.0,2.0,92.0
212,1.0,73.0,97.0
213,8.0,4.0,2.0
214,1.0,7.0,151.0
215,1.0,1.0,6.0
216,8.0,2.0,4.0
217,1.0,30.0,42.0
218,1.0,4.0,8.0
219,1.0,9.0,24.0
220,1.0,3.0,6.0
221,1.0,3.0,14.0
222,1.0,1.0,1.0
223,1.0,1.0,8.0
224,2.0,11.0,3.0
225,1.0,2.0,65.0
226,37.0,3.0,73.0
227,1.0,9.0,1.0
228,1.0,5.0,13.0
229,1.0,4.0,185.0
230,1.0,1.0,208.0
231,1.0,5.0,1.0
232,1.0,1.0,42.0
233,1.0,5.0,18.0
234,1.0,3.0,5.0
235,2.0,1.0,2.0
236,3.0,5.0,40.0
237,1.0,1.0,9.0
238,1.0,3.0,34.0
239,2.0,11.0,5.0
240,1.0,1.0,1.0
241,1.0,1.0,20.0
242,1.0,30.0,1.0
243,4.0,1.0,1.0
244,66.0,1.0,85.0
245,3.0,1.0,5.0
246,1.0,1.0,53.0
247,1.0,1.0,37.0
248,1.0,1.0,1.0
249,1.0,18.0,37.0
250,1.0,8.0,26.0
251,45.0,5.0,216.0
252,1.0,1.0,18.0
253,2.0,17.0,4.0
254,3.0,5.0,2.0
255,18.0,1.0,2.0
256,18.0,5.0,94.0
257,66.0,2.0,1.0
258,76.0,30.0,11.0
259,36.0,3.0,1.0
260,2.0,1.0,1.0
261,1.0,48.0,14.0
262,24.0,1.0,135.0
263,6.0,1.0,4.0
264,1.0,3.0,11.0
265,109.0,1.0,12.0
266,1.0,1.0,18.0
