,Roslyn,Rust,Kubernetes
0,1.0,6.0,9.0
1,28.0,1.0,18.0
2,176.0,2.0,11.0
3,5.0,1.0,5.0
4,32.0,68.0,93.0
5,2.0,1.0,1.0
6,2.0,1.0,2.0
7,7.0,47.0,4.0
8,105.0,187.0,2.0
9,194.0,5.0,5.0
10,4.0,1.0,6.0
11,1.0,12.0,6.0
12,19.0,18.0,2.0
13,14.0,2.0,3.0
14,4.0,14.0,3.0
15,9.0,1.0,2.0
16,1.0,1.0,1.0
17,119.0,2.0,5.0
18,4.0,3.0,21.0
19,1.0,1.0,2.0
20,1.0,2.0,3.0
21,4.0,1.0,3.0
22,24.0,2.0,3.0
23,6.0,2.0,1.0
24,4.0,1.0,2.0
25,1.0,1.0,6.0
26,1.0,370.0,27.0
27,4.0,2.0,5.0
28,2.0,3.0,3.0
29,2.0,2.0,5.0
30,7.0,17.0,1.0
31,1.0,3.0,1.0
32,3.0,5.0,2.0
33,25.0,1.0,2.0
34,5.0,461.0,1.0
35,50.0,1.0,7.0
36,6.0,1.0,1.0
37,12.0,1.0,6.0
38,72.0,127.0,3.0
39,8.0,1.0,2.0
40,9.0,693.0,1.0
41,13.0,1.0,56.0
42,11.0,90.0,2.0
43,20.0,50.0,1.0
44,2.0,1.0,4.0
45,200.0,235.0,28.0
46,16.0,1.0,1.0
47,128.0,7.0,1.0
48,2.0,4.0,3.0
49,213.0,2.0,2.0
50,1.0,343.0,8.0
51,1.0,4.0,20.0
52,15.0,17.0,1.0
53,92.0,1.0,1.0
54,2.0,6.0,2.0
55,1.0,36.0,1.0
56,1.0,1.0,1.0
57,1.0,1.0,15.0
58,22.0,1.0,1.0
59,2.0,4.0,2.0
60,4.0,1.0,2.0
61,1.0,17.0,3.0
62,33.0,3.0,2.0
63,4.0,1.0,4.0
64,1.0,2.0,1.0
65,2.0,8.0,1.0
66,36.0,2.0,58.0
67,117.0,2.0,7.0
68,26.0,4.0,1.0
69,1.0,44.0,1.0
70,20.0,7.0,1.0
71,5.0,1.0,2.0
72,1.0,2.0,1.0
73,3.0,4.0,3.0
74,161.0,2.0,1.0
75,11.0,2.0,6.0
76,311.0,3.0,6.0
77,28.0,1.0,1.0
78,29.0,2.0,1.0
79,1.0,4.0,7.0
80,4.0,2.0,8.0
81,2.0,14.0,1.0
82,73.0,1.0,2.0
83,1.0,1.0,47.0
84,41.0,1.0,19.0
85,44.0,10.0,13.0
