,Roslyn,Rust,Kubernetes
0,1.0,85.0,3.0
1,1.0,2.0,4.0
2,3.0,1.0,2.0
3,1.0,7.0,1.0
4,1.0,4.0,4.0
5,143.0,1.0,4.0
6,23.0,1.0,8.0
7,86.0,1.0,2.0
8,4.0,4.0,62.0
9,6.0,23.0,4.0
10,2.0,2.0,2.0
11,2.0,2.0,5.0
12,14.0,1.0,2.0
13,148.0,1.0,1.0
14,16.0,5.0,2.0
15,100.0,1.0,2.0
16,3.0,9.0,1.0
17,1.0,1.0,5.0
18,3.0,4.0,1.0
19,1.0,12.0,1.0
20,7.0,14.0,19.0
21,5.0,243.0,2.0
22,3.0,479.0,1.0
23,1.0,3.0,2.0
24,10.0,1.0,6.0
25,24.0,1.0,1.0
26,1.0,1.0,1.0
27,2.0,1.0,3.0
28,4.0,2.0,1.0
29,27.0,1.0,4.0
30,2.0,43.0,1.0
31,1.0,209.0,1.0
32,3.0,5.0,2.0
33,39.0,2.0,1.0
34,5.0,2.0,7.0
35,51.0,3.0,21.0
36,6.0,1.0,1.0
37,13.0,1.0,4.0
38,1.0,2.0,1.0
39,7.0,1.0,1.0
40,2.0,2.0,6.0
41,1.0,1.0,2.0
42,1.0,1.0,1.0
43,5.0,1.0,1.0
44,10.0,6.0,1.0
45,1.0,5.0,12.0
46,8.0,23.0,1.0
47,15.0,34.0,5.0
48,7.0,1.0,1.0
49,61.0,8.0,2.0
50,11.0,1.0,1.0
51,4.0,1.0,3.0
52,1.0,3.0,16.0
53,20.0,2.0,1.0
54,151.0,1.0,1.0
55,1.0,3.0,3.0
56,15.0,1.0,1.0
57,2.0,5.0,1.0
58,1.0,1.0,1.0
59,161.0,35.0,5.0
60,97.0,4.0,8.0
61,4.0,4.0,2.0
62,5.0,12.0,1.0
63,3.0,4.0,2.0
64,1.0,5.0,1.0
65,6.0,287.0,3.0
66,37.0,5.0,1.0
67,18.0,1.0,1.0
68,2.0,18.0,1.0
69,3.0,1.0,1.0
70,21.0,2.0,1.0
71,29.0,1.0,10.0
72,6.0,1.0,19.0
73,56.0,1.0,4.0
74,5.0,5.0,1.0
75,24.0,1.0,1.0
76,134.0,3.0,17.0
77,2.0,6.0,3.0
78,35.0,25.0,2.0
79,23.0,1.0,26.0
80,1.0,1.0,1.0
81,1.0,1.0,26.0
82,13.0,2.0,2.0
83,1.0,1.0,4.0
84,1.0,2.0,1.0
85,8.0,6.0,6.0
86,2.0,3.0,42.0
87,2.0,7.0,2.0
88,39.0,1.0,5.0
89,95.0,3.0,4.0
90,256.0,1.0,4.0
91,4.0,14.0,1.0
92,3.0,1.0,1.0
93,9.0,25.0,2.0
94,4.0,140.0,1.0
95,18.0,4.0,1.0
96,41.0,2.0,20.0
97,65.0,1.0,1.0
98,13.0,2.0,17.0
99,31.0,44.0,1.0
100,59.0,1.0,1.0
101,22.0,1.0,1.0
102,20.0,10.0,2.0
103,1.0,1.0,1.0
104,6.0,103.0,5.0
105,1.0,1.0,22.0
106,184.0,1.0,3.0
107,19.0,3.0,2.0
108,5.0,1.0,65.0
109,36.0,1.0,5.0
110,155.0,6.0,5.0
111,1.0,8.0,23.0
112,32.0,1.0,14.0
113,1.0,1.0,1.0
114,84.0,29.0,1.0
115,15.0,1.0,35.0
116,1.0,1.0,1.0
117,4.0,1.0,1.0
118,4.0,1.0,149.0
119,58.0,3.0,8.0
