,Roslyn,Rust,Kubernetes
0,1.0,3.0,3.0
1,1.0,32.0,5.0
2,150.0,1.0,4.0
3,1.0,1.0,5.0
4,6.0,2.0,2.0
5,4.0,88.0,5.0
6,94.0,1.0,2.0
7,24.0,7.0,14.0
8,3.0,7.0,64.0
9,13.0,1.0,2.0
10,13.0,1.0,17.0
11,2.0,10.0,2.0
12,4.0,18.0,1.0
13,112.0,10.0,4.0
14,1.0,1.0,1.0
15,186.0,3.0,2.0
16,5.0,1.0,1.0
17,1.0,1.0,1.0
18,4.0,2.0,1.0
19,1.0,4.0,20.0
20,4.0,389.0,3.0
21,19.0,2.0,6.0
22,2.0,2.0,2.0
23,3.0,211.0,1.0
24,58.0,1.0,2.0
25,9.0,5.0,3.0
26,23.0,1.0,4.0
27,1.0,2.0,1.0
28,10.0,184.0,1.0
29,7.0,2.0,3.0
30,1.0,58.0,5.0
31,2.0,1.0,2.0
32,2.0,33.0,2.0
33,5.0,2.0,1.0
34,13.0,1.0,3.0
35,5.0,3.0,7.0
36,1.0,1.0,4.0
37,12.0,1.0,1.0
38,1.0,1.0,1.0
39,6.0,3.0,1.0
40,45.0,1.0,1.0
41,10.0,1.0,1.0
42,9.0,32.0,2.0
43,11.0,3.0,1.0
44,158.0,2.0,2.0
45,2.0,255.0,1.0
46,12.0,13.0,1.0
47,19.0,1.0,8.0
48,122.0,1.0,20.0
49,100.0,3.0,8.0
50,4.0,1.0,19.0
51,52.0,3.0,1.0
52,9.0,16.0,2.0
53,1.0,2.0,3.0
54,1.0,5.0,1.0
55,1.0,5.0,32.0
56,2.0,6.0,1.0
57,21.0,2.0,3.0
58,2.0,3.0,1.0
59,1.0,3.0,1.0
60,1.0,1.0,22.0
61,2.0,1.0,1.0
62,1.0,1.0,1.0
63,31.0,2.0,4.0
64,1.0,1.0,5.0
65,30.0,4.0,5.0
66,1.0,2.0,1.0
67,25.0,34.0,1.0
68,4.0,42.0,2.0
69,1.0,1.0,8.0
70,32.0,2.0,45.0
71,7.0,3.0,1.0
72,2.0,13.0,1.0
73,2.0,3.0,20.0
74,45.0,1.0,3.0
75,2.0,5.0,2.0
76,146.0,1.0,4.0
77,1.0,137.0,1.0
78,10.0,1.0,1.0
79,20.0,10.0,1.0
80,7.0,1.0,24.0
81,23.0,2.0,24.0
82,18.0,5.0,7.0
83,282.0,26.0,3.0
84,9.0,1.0,2.0
85,25.0,7.0,42.0
86,3.0,10.0,2.0
87,37.0,3.0,1.0
88,76.0,1.0,1.0
89,5.0,1.0,10.0
90,1.0,7.0,1.0
91,108.0,1.0,1.0
92,36.0,27.0,3.0
93,3.0,1.0,3.0
94,30.0,81.0,17.0
95,49.0,16.0,1.0
96,20.0,6.0,22.0
97,70.0,53.0,3.0
98,25.0,2.0,1.0
99,19.0,1.0,30.0
100,190.0,3.0,3.0
101,7.0,5.0,66.0
102,61.0,5.0,8.0
103,1.0,1.0,14.0
104,81.0,3.0,1.0
105,44.0,1.0,1.0
106,14.0,2.0,1.0
107,50.0,1.0,1.0
108,4.0,5.0,5.0
109,1.0,1.0,1.0
110,201.0,1.0,6.0
111,67.0,1.0,1.0
112,36.0,38.0,8.0
113,2.0,3.0,218.0
114,15.0,1.0,12.0
115,181.0,1.0,178.0
116,10.0,1.0,65.0
117,17.0,2.0,2.0
118,10.0,1.0,6.0
119,1.0,5.0,6.0
120,1.0,1.0,19.0
121,1.0,1.0,3.0
122,1.0,3.0,3.0
123,1.0,2.0,2.0
124,2.0,1.0,31.0
125,4.0,2.0,1.0
126,1.0,3.0,17.0
127,1.0,1.0,55.0
128,3.0,3.0,1.0
129,8.0,1.0,1.0
130,46.0,2.0,1.0
131,21.0,1.0,1.0
132,1.0,1.0,8.0
133,1.0,3.0,9.0
134,29.0,5.0,10.0
135,17.0,2.0,18.0
136,15.0,1.0,1.0
137,1.0,5.0,76.0
138,3.0,1.0,1.0
139,39.0,6.0,1.0
140,128.0,14.0,3.0
141,8.0,4.0,5.0
142,150.0,60.0,4.0
143,1.0,1.0,1.0
144,26.0,6.0,29.0
145,29.0,1.0,8.0
146,4.0,12.0,5.0
147,22.0,1.0,5.0
148,28.0,1.0,2.0
149,103.0,1.0,48.0
150,133.0,10.0,1.0
151,54.0,7.0,3.0
152,2.0,1.0,1.0
153,1.0,1.0,5.0
154,3.0,1.0,1.0
155,1.0,10.0,42.0
156,164.0,1.0,51.0
157,4.0,16.0,6.0
158,5.0,26.0,4.0
159,1.0,2.0,4.0
160,3.0,2.0,3.0
161,2.0,1.0,2.0
162,2.0,1.0,6.0
163,26.0,1.0,133.0
164,24.0,1.0,2.0
165,2.0,1.0,2.0
166,3.0,16.0,1.0
167,6.0,1.0,2.0
168,1.0,7.0,2.0
169,1.0,1.0,7.0
170,47.0,46.0,20.0
171,3.0,1.0,1.0
172,6.0,3.0,1.0
173,3.0,38.0,14.0
174,11.0,1.0,1.0
175,1.0,6.0,33.0
176,8.0,3.0,1.0
177,1.0,3.0,1.0
178,5.0,3.0,1.0
179,8.0,126.0,27.0
180,3.0,1.0,3.0
181,12.0,3.0,3.0
182,1.0,3.0,1.0
183,1.0,1.0,1.0
184,1.0,2.0,1.0
185,5.0,4.0,1.0
186,51.0,1.0,6.0
187,85.0,18.0,1.0
188,9.0,1.0,1.0
189,1.0,4.0,2.0
190,6.0,1.0,1.0
191,42.0,1.0,1.0
192,16.0,1.0,1.0
193,1.0,6.0,13.0
194,2.0,1.0,1.0
195,1.0,1.0,3.0
196,13.0,1.0,42.0
197,1.0,1.0,6.0
198,3.0,104.0,3.0
199,19.0,1.0,18.0
200,8.0,1.0,1.0
201,4.0,14.0,3.0
202,3.0,1.0,2.0
203,6.0,1.0,8.0
204,13.0,9.0,1.0
205,27.0,1.0,12.0
206,4.0,3.0,2.0
207,66.0,2.0,1.0
208,1.0,24.0,9.0
209,1.0,2.0,3.0
210,1.0,18.0,204.0
211,205.0,2.0,2.0
212,3.0,17.0,10.0
213,1.0,2.0,2.0
214,1.0,1.0,3.0
215,14.0,9.0,1.0
216,7.0,12.0,1.0
217,9.0,39.0,13.0
218,1.0,3.0,57.0
219,3.0,2.0,3.0
220,2.0,11.0,16.0
221,1.0,36.0,2.0
222,5.0,1.0,1.0
223,2.0,1.0,1.0
224,3.0,16.0,8.0
225,4.0,1.0,16.0
226,1.0,1.0,68.0
227,21.0,2.0,26.0
228,5.0,1.0,3.0
229,100.0,1.0,1.0
230,8.0,6.0,136.0
231,18.0,1.0,45.0
232,1.0,24.0,5.0
233,1.0,1.0,7.0
234,2.0,1.0,6.0
235,2.0,2.0,50.0
236,6.0,2.0,1.0
