,Roslyn,Rust,Kubernetes
0,1.0,86.0,5.0
1,23.0,1.0,4.0
2,81.0,3.0,3.0
3,175.0,2.0,17.0
4,8.0,1.0,2.0
5,4.0,7.0,14.0
6,109.0,32.0,1.0
7,2.0,1.0,4.0
8,2.0,7.0,2.0
9,1.0,1.0,4.0
10,4.0,1.0,2.0
11,155.0,10.0,2.0
12,5.0,9.0,20.0
13,6.0,1.0,1.0
14,1.0,505.0,4.0
15,21.0,250.0,4.0
16,37.0,18.0,63.0
17,1.0,259.0,6.0
18,1.0,3.0,15.0
19,6.0,54.0,1.0
20,2.0,1.0,1.0
21,5.0,3.0,5.0
22,1.0,2.0,1.0
23,11.0,1.0,4.0
24,10.0,3.0,2.0
25,13.0,1.0,1.0
26,4.0,2.0,1.0
27,1.0,31.0,2.0
28,9.0,2.0,2.0
29,14.0,2.0,2.0
30,4.0,2.0,1.0
31,49.0,3.0,1.0
32,2.0,5.0,2.0
33,1.0,6.0,2.0
34,4.0,1.0,3.0
35,1.0,2.0,1.0
36,2.0,2.0,1.0
37,6.0,1.0,1.0
38,1.0,1.0,19.0
39,4.0,33.0,1.0
40,3.0,2.0,2.0
41,4.0,1.0,3.0
42,7.0,1.0,1.0
43,11.0,1.0,2.0
44,2.0,1.0,7.0
45,94.0,1.0,3.0
46,54.0,13.0,6.0
47,1.0,3.0,21.0
48,2.0,1.0,1.0
49,1.0,310.0,1.0
50,7.0,4.0,3.0
51,2.0,13.0,3.0
52,1.0,1.0,1.0
53,20.0,1.0,1.0
54,6.0,7.0,1.0
55,21.0,3.0,1.0
56,98.0,1.0,3.0
57,14.0,5.0,4.0
58,1.0,3.0,1.0
59,193.0,4.0,2.0
60,194.0,1.0,1.0
61,297.0,16.0,4.0
62,3.0,3.0,2.0
63,27.0,2.0,43.0
64,24.0,1.0,2.0
65,1.0,6.0,5.0
66,16.0,4.0,5.0
67,2.0,3.0,1.0
68,103.0,1.0,1.0
69,25.0,1.0,1.0
70,5.0,142.0,1.0
71,1.0,1.0,1.0
