,Roslyn,Rust,Kubernetes
0,2.0,27.0,2.0
1,3.0,34.0,12.0
2,27.0,1.0,10.0
3,60.0,2.0,4.0
4,5.0,24.0,47.0
5,79.0,61.0,2.0
6,1.0,1.0,3.0
7,22.0,1.0,1.0
8,1.0,14.0,7.0
9,1.0,3.0,7.0
10,5.0,7.0,7.0
11,14.0,1.0,17.0
12,93.0,1.0,6.0
13,5.0,3.0,6.0
14,9.0,68.0,2.0
15,12.0,20.0,1.0
16,5.0,5.0,10.0
17,2.0,1.0,7.0
18,31.0,1.0,3.0
19,4.0,5.0,1.0
20,19.0,4.0,10.0
21,14.0,3.0,3.0
22,8.0,7.0,2.0
23,64.0,10.0,4.0
24,3.0,14.0,10.0
25,2.0,2.0,7.0
26,13.0,283.0,3.0
27,1.0,1.0,2.0
28,4.0,5.0,8.0
29,41.0,177.0,7.0
30,36.0,21.0,13.0
31,28.0,247.0,4.0
32,13.0,25.0,7.0
33,12.0,2.0,6.0
34,15.0,1.0,15.0
35,25.0,169.0,2.0
36,9.0,16.0,4.0
37,1.0,5.0,1.0
38,22.0,1.0,4.0
39,9.0,1.0,6.0
40,38.0,1.0,3.0
41,5.0,8.0,5.0
42,4.0,23.0,1.0
43,18.0,2.0,22.0
44,8.0,1.0,6.0
45,40.0,1.0,1.0
46,1.0,1.0,9.0
47,6.0,1.0,2.0
48,5.0,65.0,1.0
49,10.0,3.0,12.0
50,40.0,6.0,2.0
51,19.0,1.0,1.0
52,3.0,5.0,5.0
53,4.0,3.0,4.0
54,3.0,5.0,4.0
55,145.0,1.0,2.0
56,130.0,1.0,1.0
57,31.0,3.0,13.0
58,36.0,2.0,2.0
59,8.0,1.0,1.0
60,13.0,2.0,4.0
61,47.0,3.0,5.0
62,100.0,1.0,3.0
63,74.0,2.0,23.0
64,12.0,1.0,1.0
65,42.0,3.0,1.0
66,4.0,1.0,2.0
67,2.0,2.0,3.0
68,1.0,10.0,2.0
69,19.0,2.0,11.0
70,6.0,2.0,1.0
71,5.0,5.0,1.0
72,128.0,6.0,1.0
73,13.0,3.0,12.0
74,9.0,13.0,2.0
75,1.0,3.0,1.0
76,8.0,16.0,6.0
77,2.0,1.0,3.0
78,56.0,7.0,9.0
79,20.0,23.0,13.0
80,17.0,5.0,4.0
81,11.0,1.0,27.0
82,4.0,5.0,18.0
83,4.0,13.0,9.0
84,20.0,4.0,1.0
85,87.0,1.0,7.0
86,1.0,4.0,1.0
87,1.0,8.0,6.0
88,13.0,9.0,1.0
89,18.0,5.0,1.0
90,1.0,3.0,3.0
91,71.0,50.0,1.0
92,10.0,10.0,1.0
93,10.0,4.0,32.0
94,45.0,9.0,1.0
95,33.0,11.0,7.0
96,6.0,3.0,4.0
97,4.0,5.0,3.0
98,15.0,30.0,4.0
99,2.0,4.0,12.0
100,38.0,19.0,4.0
101,32.0,42.0,16.0
102,1.0,1.0,4.0
103,64.0,6.0,4.0
104,13.0,3.0,1.0
105,35.0,15.0,14.0
106,62.0,6.0,1.0
107,56.0,3.0,8.0
108,23.0,3.0,4.0
109,6.0,4.0,5.0
110,15.0,3.0,13.0
111,31.0,6.0,5.0
112,28.0,1.0,2.0
113,34.0,7.0,3.0
114,1.0,1.0,3.0
115,13.0,7.0,5.0
116,82.0,1.0,3.0
117,2.0,3.0,19.0
118,26.0,1.0,8.0
119,91.0,97.0,15.0
120,7.0,4.0,17.0
121,99.0,3.0,45.0
122,1.0,1.0,8.0
123,5.0,2.0,19.0
124,70.0,1.0,7.0
125,1.0,1.0,2.0
126,14.0,1.0,2.0
127,8.0,5.0,16.0
128,24.0,1.0,74.0
129,1.0,1.0,27.0
130,50.0,2.0,16.0
131,40.0,1.0,7.0
132,35.0,3.0,2.0
133,31.0,1.0,1.0
134,27.0,4.0,18.0
135,1.0,15.0,7.0
136,2.0,26.0,17.0
137,13.0,1.0,7.0
138,15.0,5.0,1.0
139,47.0,1.0,4.0
140,3.0,5.0,2.0
141,7.0,1.0,1.0
142,24.0,3.0,10.0
143,7.0,32.0,44.0
144,5.0,5.0,11.0
145,89.0,20.0,16.0
146,1.0,1.0,111.0
147,75.0,32.0,3.0
148,41.0,1.0,1.0
149,16.0,16.0,13.0
150,6.0,9.0,19.0
151,3.0,4.0,9.0
152,13.0,1.0,4.0
153,1.0,12.0,1.0
154,2.0,4.0,146.0
155,2.0,4.0,9.0
156,28.0,2.0,34.0
157,24.0,3.0,1.0
158,18.0,11.0,24.0
159,8.0,5.0,1.0
160,1.0,14.0,3.0
161,9.0,12.0,1.0
162,1.0,2.0,1.0
163,1.0,1.0,1.0
164,48.0,9.0,1.0
165,85.0,5.0,14.0
166,1.0,14.0,5.0
167,13.0,1.0,3.0
168,38.0,11.0,33.0
169,3.0,1.0,5.0
170,3.0,1.0,1.0
171,53.0,38.0,1.0
172,76.0,32.0,1.0
173,46.0,4.0,6.0
174,7.0,1.0,3.0
175,1.0,22.0,1.0
176,2.0,9.0,3.0
177,6.0,2.0,1.0
178,3.0,1.0,18.0
179,8.0,1.0,2.0
180,8.0,3.0,10.0
181,2.0,9.0,196.0
182,1.0,7.0,2.0
183,4.0,42.0,9.0
184,9.0,1.0,27.0
185,84.0,1.0,26.0
186,7.0,6.0,2.0
187,2.0,13.0,4.0
188,8.0,12.0,8.0
189,37.0,7.0,1.0
190,26.0,15.0,3.0
191,48.0,30.0,9.0
192,9.0,1.0,13.0
193,5.0,1.0,7.0
194,47.0,4.0,3.0
195,46.0,3.0,7.0
196,8.0,3.0,6.0
197,25.0,9.0,1.0
198,78.0,2.0,12.0
199,5.0,32.0,2.0
200,1.0,1.0,2.0
201,14.0,1.0,18.0
202,45.0,3.0,10.0
203,2.0,1.0,12.0
204,1.0,1.0,1.0
