,Roslyn,Rust,Kubernetes
0,1.0,1.0,2.0
1,1.0,2.0,2.0
2,25.0,1.0,5.0
3,3.0,8.0,3.0
4,1.0,1.0,1.0
5,1.0,7.0,5.0
6,31.0,33.0,1.0
7,1.0,4.0,4.0
8,105.0,1.0,1.0
9,3.0,8.0,2.0
10,56.0,1.0,1.0
11,7.0,2.0,2.0
12,2.0,14.0,1.0
13,1.0,12.0,56.0
14,3.0,3.0,14.0
15,70.0,110.0,2.0
16,6.0,1.0,1.0
17,1.0,1.0,3.0
18,47.0,1.0,1.0
19,1.0,76.0,1.0
20,49.0,332.0,1.0
21,11.0,1.0,1.0
22,10.0,1.0,4.0
23,1.0,3.0,3.0
24,11.0,1.0,1.0
25,48.0,2.0,1.0
26,6.0,1.0,16.0
27,1.0,3.0,2.0
28,5.0,17.0,1.0
29,2.0,2.0,1.0
30,3.0,2.0,1.0
31,2.0,1.0,2.0
32,6.0,1.0,1.0
33,10.0,1.0,5.0
34,2.0,1.0,7.0
35,1.0,296.0,18.0
36,2.0,3.0,3.0
37,1.0,25.0,1.0
38,1.0,1.0,2.0
39,1.0,1.0,1.0
40,7.0,1.0,23.0
41,2.0,9.0,2.0
42,20.0,1.0,1.0
43,34.0,19.0,4.0
44,2.0,4.0,6.0
45,5.0,1.0,1.0
46,5.0,11.0,1.0
47,18.0,1.0,2.0
48,7.0,20.0,16.0
49,46.0,3.0,1.0
50,2.0,2.0,1.0
51,3.0,189.0,3.0
52,29.0,1.0,4.0
53,5.0,1.0,2.0
54,1.0,4.0,2.0
55,3.0,4.0,1.0
56,153.0,1.0,1.0
57,23.0,4.0,4.0
58,83.0,16.0,6.0
59,163.0,1.0,1.0
60,165.0,1.0,5.0
61,182.0,1.0,34.0
62,3.0,1.0,1.0
63,1.0,1.0,11.0
64,11.0,2.0,14.0
65,18.0,2.0,1.0
66,5.0,2.0,2.0
67,24.0,5.0,4.0
68,5.0,3.0,3.0
69,24.0,3.0,1.0
70,8.0,2.0,4.0
71,1.0,1.0,2.0
72,1.0,1.0,12.0
73,83.0,1.0,11.0
74,1.0,4.0,1.0
75,47.0,15.0,15.0
76,1.0,1.0,1.0
77,1.0,19.0,3.0
78,5.0,33.0,1.0
79,13.0,288.0,1.0
80,1.0,1.0,11.0
81,22.0,6.0,26.0
82,2.0,1.0,12.0
83,1.0,33.0,16.0
84,2.0,93.0,1.0
