,Roslyn,Rust,Kubernetes
0,2.0,3.0,4.0
1,4.0,6.0,5.0
2,5.0,3.0,2.0
3,2.0,74.0,2.0
4,69.0,14.0,8.0
5,16.0,6.0,2.0
6,7.0,2.0,1.0
7,4.0,25.0,46.0
8,1.0,5.0,3.0
9,1.0,2.0,5.0
10,6.0,1.0,8.0
11,2.0,7.0,4.0
12,67.0,3.0,3.0
13,2.0,43.0,2.0
14,74.0,1.0,9.0
15,1.0,4.0,2.0
16,1.0,4.0,13.0
17,23.0,7.0,16.0
18,18.0,11.0,9.0
19,5.0,31.0,1.0
20,1.0,51.0,16.0
21,98.0,4.0,4.0
22,5.0,1.0,17.0
23,3.0,3.0,6.0
24,1.0,57.0,4.0
25,2.0,6.0,6.0
26,10.0,3.0,1.0
27,42.0,5.0,1.0
28,9.0,1.0,15.0
29,29.0,5.0,1.0
30,26.0,3.0,2.0
31,5.0,2.0,13.0
32,21.0,22.0,7.0
33,38.0,1.0,3.0
34,9.0,4.0,1.0
35,3.0,8.0,2.0
36,15.0,4.0,1.0
37,14.0,1.0,14.0
38,9.0,1.0,3.0
39,3.0,18.0,5.0
40,14.0,4.0,15.0
41,27.0,1.0,6.0
42,12.0,10.0,1.0
43,44.0,10.0,4.0
44,33.0,1.0,4.0
45,9.0,27.0,1.0
46,1.0,13.0,13.0
47,25.0,1.0,2.0
48,52.0,9.0,2.0
49,21.0,8.0,5.0
50,7.0,3.0,11.0
51,42.0,1.0,7.0
52,8.0,67.0,3.0
53,4.0,2.0,2.0
54,9.0,119.0,14.0
55,14.0,5.0,1.0
56,3.0,1.0,1.0
57,8.0,28.0,16.0
58,4.0,1.0,1.0
59,4.0,2.0,9.0
60,9.0,3.0,1.0
61,71.0,1.0,3.0
62,4.0,62.0,8.0
63,3.0,3.0,1.0
64,18.0,1.0,7.0
65,68.0,1.0,3.0
66,5.0,1.0,1.0
67,18.0,5.0,14.0
68,14.0,1.0,1.0
69,3.0,2.0,3.0
70,17.0,1.0,1.0
71,4.0,1.0,3.0
72,23.0,3.0,3.0
73,47.0,6.0,3.0
74,1.0,3.0,1.0
75,1.0,1.0,4.0
76,3.0,1.0,1.0
77,35.0,1.0,2.0
78,17.0,4.0,1.0
79,80.0,1.0,7.0
80,14.0,3.0,6.0
81,16.0,2.0,1.0
82,4.0,22.0,5.0
83,85.0,2.0,1.0
84,33.0,1.0,1.0
85,1.0,3.0,1.0
86,23.0,3.0,4.0
87,75.0,3.0,4.0
88,10.0,1.0,2.0
89,2.0,2.0,1.0
90,4.0,47.0,4.0
91,13.0,2.0,2.0
92,6.0,6.0,1.0
93,1.0,6.0,1.0
94,1.0,1.0,1.0
95,9.0,1.0,3.0
96,4.0,4.0,3.0
97,25.0,9.0,1.0
98,22.0,8.0,8.0
99,4.0,1.0,1.0
100,7.0,1.0,9.0
101,36.0,5.0,2.0
102,18.0,1.0,8.0
103,10.0,3.0,1.0
104,73.0,4.0,6.0
105,22.0,7.0,4.0
106,34.0,3.0,16.0
107,1.0,6.0,2.0
108,1.0,18.0,20.0
109,1.0,1.0,1.0
110,52.0,21.0,18.0
111,29.0,3.0,17.0
112,14.0,14.0,1.0
113,1.0,18.0,2.0
114,4.0,1.0,11.0
115,1.0,1.0,3.0
116,2.0,2.0,8.0
117,18.0,7.0,18.0
118,28.0,3.0,1.0
119,18.0,13.0,14.0
120,17.0,20.0,5.0
121,101.0,46.0,16.0
122,34.0,41.0,3.0
123,5.0,5.0,9.0
124,47.0,11.0,10.0
125,20.0,4.0,1.0
126,21.0,15.0,2.0
127,1.0,4.0,1.0
128,14.0,4.0,4.0
129,87.0,4.0,1.0
130,63.0,43.0,2.0
131,1.0,3.0,6.0
132,2.0,2.0,3.0
133,1.0,105.0,17.0
134,5.0,3.0,4.0
135,1.0,1.0,3.0
136,38.0,1.0,19.0
137,7.0,1.0,6.0
138,49.0,1.0,1.0
139,1.0,13.0,30.0
140,38.0,1.0,3.0
141,26.0,4.0,1.0
142,3.0,2.0,1.0
143,5.0,24.0,26.0
144,30.0,3.0,2.0
145,11.0,2.0,2.0
146,21.0,5.0,1.0
147,24.0,1.0,3.0
148,50.0,1.0,16.0
149,64.0,12.0,1.0
150,19.0,1.0,1.0
151,53.0,5.0,12.0
152,3.0,32.0,1.0
153,2.0,1.0,16.0
154,1.0,1.0,12.0
155,8.0,1.0,12.0
156,1.0,1.0,5.0
157,1.0,3.0,2.0
158,1.0,1.0,11.0
159,3.0,1.0,1.0
160,9.0,1.0,2.0
161,34.0,7.0,19.0
162,13.0,5.0,2.0
163,83.0,12.0,5.0
164,7.0,2.0,1.0
165,40.0,1.0,2.0
166,20.0,1.0,45.0
167,8.0,38.0,1.0
168,35.0,1.0,3.0
169,31.0,3.0,2.0
170,9.0,1.0,6.0
171,10.0,1.0,1.0
172,86.0,33.0,29.0
173,3.0,1.0,1.0
174,59.0,23.0,1.0
175,1.0,4.0,7.0
176,1.0,1.0,2.0
177,24.0,3.0,12.0
178,75.0,32.0,1.0
179,1.0,1.0,1.0
